session_id,cluster
1239bd62-4ded-4df7-94d9-3e973e317b2e,0
1256dfb1-3526-43bf-b67d-f30f949d25f0,2
1275904c-e785-4a07-9242-205eb488dcdb,2
12b9bb93-2377-46aa-b417-fb6caf480928,0
12ffde69-f588-45db-890f-1138c32da44f,2
13055d15-dcee-497d-a7b9-af41b45286cd,2
131ae1a2-bc1a-4c97-88f5-81e26523451e,2
1347e6d8-34d7-4477-9eac-07006f81c517,2
134bd70f-7b51-4a98-aa9f-ba1fb1e3dff2,0
136f9a88-520c-4510-9a46-1a2eeae538e2,2
139ebc8c-c8ec-4013-845d-c6d13599634a,2
13bb09c4-6446-4fed-a22f-4f350c95b253,0
13cb9b55-82bc-49e3-a516-fcfca9266ea0,0
13dcb6ad-71fb-4700-8d63-3b78ba304832,0
13e324e0-b79f-44e0-9472-6e18c6f32f0e,0
13f06218-1707-4248-aa69-8bac38a1deef,1
142ae290-7045-4142-9796-eb57b2ff76cc,0
1430495f-d3fd-4a59-bf47-f7151c9ae558,0
1461bb1b-adf0-4ae5-b553-98d66d06a45e,2
146b3b1e-169a-4990-9a79-8a49f0237cfe,2
1487d66e-5c45-4c4a-a12f-39a6bce96518,1
148e1746-0d38-4ab2-bd23-a9481d54ed7e,0
149b9df7-1a4d-4818-86fa-cf3375b44a96,2
14b46721-4226-4d9e-a20c-b7aa3b9c325f,0
14fe621c-42dd-45b1-81d4-a86d5d0dbfa6,2
1543aed3-479c-4baa-a9b6-4374dbfc0487,0
1545773c-940f-488a-8915-55c99b7d2747,1
1576b9c6-e19b-4e15-b68f-097178fc6fff,0
15a2d625-1479-42f7-bd59-c426dabc6987,2
15c5504a-e46f-4aac-9ba1-c62bcf501122,0
15d29fd0-5e24-4736-b391-3cbc63489db0,0
16605ec9-0b33-4b0c-9584-9214b2921845,1
167a60ac-2db1-4691-919e-334d7ca3307d,0
167ab40b-2b3e-4b31-8a26-a65c438e015f,1
1684584c-a19c-4368-ab02-047c970cde93,2
169a1cec-e448-4624-9d2b-8d7baf14f392,0
16a41b8b-c6bf-4690-a856-9daca1be44fb,0
16b0ada0-e3fd-4502-969d-8a9b9d4389c2,0
16c3894c-1f58-4f79-930e-69db1ed8af23,2
16ccde9f-cb84-403c-934f-9929c4365add,0
16d8d316-43e1-4c85-8073-32045eacbfa6,0
16dde196-5155-4f64-8813-86bcd9a1ec92,0
16e64187-cdde-4fa1-998d-e82f1368e526,0
16e72879-0412-44d0-9139-0ac09999eaf7,2
16fe6ef4-549f-464a-a6cd-a0d4f8b8f735,0
170454c6-3753-4355-b6a1-4c03b80983bb,1
173ca4bd-eb22-49e1-aa29-ae9980d8e806,1
17c2912f-c9ae-4d31-b1fc-e16139e3f92f,2
17da03b2-46cf-4bbe-8285-bdbbb315ea98,1
1813884b-0f7c-45c0-8a29-40bbb8aa8488,0
1818bde8-cda1-4fd5-8724-c322731b8e0c,2
18410fc3-fed5-4389-b5f0-d57357e093dc,2
1849ec0f-1a1a-4931-ae4d-684c7c8b2932,2
184d002b-a96c-4c51-b809-b2cd4027b49f,2
185fd17a-3b06-4361-a7ec-2494ea7a8d73,0
1867401e-7a8e-41fe-aa99-bb3cb917f5ff,0
186af0e2-96eb-4809-bb19-4668c4a5d8c4,0
1876b5d4-a331-4418-814c-3e37436cff44,0
1881f8e7-5f5f-4f67-a9fd-58b7e7e115e8,2
188b87ed-ca02-4cc2-8c60-1e25752cefbc,2
189a2e50-8494-4822-aae3-ba285585d32d,0
18a836fe-c2a8-4a7b-a18a-979ff59bacd2,2
18c97c74-0a52-4fa9-8153-91f7ea098838,0
18cdb412-e6a1-4983-86ed-debe130401c6,1
18fab2d5-1e76-4517-9971-5343f85cfeaa,0
19030141-5bcc-452d-b104-eba48ac74803,0
191e843f-e27e-4731-8c43-f193037738f4,0
1928ebf8-3916-41c0-8167-e2d118ffb76c,2
193d4a55-97c8-4d38-be1b-67c4bfd7009c,2
197097c4-4a85-4e2c-b612-25e845735cb2,1
199181c6-ce31-4bd1-b6ae-5c7ec1473a8f,1
19bfb384-b75d-4bfa-92cc-8e9bd0002293,2
19ea95d0-6e01-4f93-840c-ed82eca7b6db,1
1a044305-9753-420a-8710-a53f61e691da,0
1a3a220a-cecb-4704-aadb-f22f48b76b52,2
1a57fddb-0d46-4bb5-83b6-da390768684d,2
1a5bb821-6838-4929-93b5-89c7f796bad8,0
1a616047-45ce-4cf5-a320-ace8d2694b57,1
1a84d495-6506-4457-afaf-490945f07142,0
1aa4e4c0-f963-40f1-883d-ab66dd82b74e,2
1ace78d3-89ea-4055-a29d-c461fd4edb74,0
1adba46e-129f-4a94-af70-57c887a7a4ac,1
1ae57cd2-b39e-4b6e-a20e-e72ea4c84794,2
1ae9f42a-5c1e-4517-a7a6-6750c3be26ae,0
1aeaa8f5-b9a6-42cf-9e8d-d435bb74fa40,2
1b2cb961-8798-4359-be1f-0262dcc6962a,0
1b505982-5eca-4c54-b8fa-6ebc844f59e5,1
1b65246f-0ca7-4e08-be4b-0018f00af100,0
1b6711db-a871-4060-a6e7-a7d9f2af8bab,2
1b7bc78e-8370-49eb-91a1-6198a787087d,2
1b9125f4-4c36-48e4-a2f4-09fe39bea283,2
1bb1cc43-60bc-4f54-be1b-14143eb7b285,0
1bd354e7-c353-4d21-86f5-c9a5ff6ba620,0
1be6bf1f-6dff-4264-bba6-b2f5073e54e0,1
1bf40ff3-669b-47c9-ba4d-76c907cd5abd,0
1bf68882-a85b-4766-af99-4b5f08eeaba5,2
1c14b04a-2879-4321-8115-e5630b258f1e,1
1c2099c7-cb17-4559-ae71-be9ed57255f4,1
1c4530d3-a1d8-4db7-b46c-eb76926fd33e,1
1c457ef2-e212-4166-bba6-e89a575da6f8,0
1c5052ff-ff80-44d8-b194-369085108f43,0
1c689bd1-b96a-4e58-bcff-d7b15d7c6b5b,2
1c6ba9cb-0c5d-4ca0-a398-1b928acd879a,1
1c7412e3-2129-4f7e-a69c-d3f77107d668,2
1c95ec4d-ea3b-420e-98a9-82e7fb5490cb,2
1ca6b47b-d473-461c-8305-cccceb6d4cba,1
1cbb6915-2ac5-4698-8899-c72a327751b9,0
1cc7b350-3520-4591-94e8-6a73cd8e61a8,1
1cce7dff-8329-4331-9ab3-a271fdf2b3b2,2
1cde06d7-9993-4ea5-bd05-8b64f30d75ea,0
1d07d2b4-8005-449b-9c55-83966db1de88,0
1d2032d3-7b3e-4842-87ae-b9dc56010af4,2
1d3ef69b-f88f-4c68-9dbe-f01037ce535c,2
1d4019e6-1bc7-43dd-bc40-350c19720e3c,0
1d63a144-b3f8-4cda-9782-b5fac68087f6,2
1d69d242-2d75-4752-b125-ec64583d50ea,0
1da70f16-cc2a-4929-a9c9-153d1c5f2ef0,1
1df98e40-eaf0-4a70-9160-f6ce0e4f5f5a,0
1e06226e-a5ce-445d-8cb4-78d2e05396a3,2
1e17e635-2dcd-4157-9904-7c1d200a0379,0
1e56b140-cca0-43f9-97c1-21c046e9b9c8,0
